shipment_id,order_id,courier_name,tracking_number,estimated_delivery,actual_delivery,shipment_status
428,527,DTDC,DTD000527,2026-07-10,2026-07-09,Delivered
429,529,Shadowfax,SHA000529,2025-05-06,,Shipped
430,530,DTDC,DTD000530,2026-04-19,2026-04-22,Delivered
431,531,Bluedart,BLU000531,2026-03-11,2026-03-09,Delivered
432,532,Bluedart,BLU000532,2026-06-06,2026-06-11,Delivered
433,533,DTDC,DTD000533,2026-07-06,,Returned
434,534,Ekart,EKA000534,2025-09-17,2025-09-19,Delivered
435,535,Delhivery,DEL000535,2026-02-03,,In Transit
436,536,DTDC,DTD000536,2025-03-30,2025-03-30,Delivered
437,537,Bluedart,BLU000537,2025-08-13,,In Transit
438,538,Delhivery,DEL000538,2026-03-27,,In Transit
439,539,DTDC,DTD000539,2025-12-04,2025-12-06,Delivered
440,540,Shadowfax,SHA000540,2025-02-08,,Returned
441,541,Shadowfax,SHA000541,2025-02-21,2025-02-23,Delivered
442,542,Ekart,EKA000542,2025-11-27,2025-12-04,Delivered
443,543,Shadowfax,SHA000543,2025-10-01,2025-10-07,Delivered
444,546,Shadowfax,SHA000546,2026-03-18,2026-03-14,Delivered
445,547,Delhivery,DEL000547,2025-04-10,,Shipped
446,548,DTDC,DTD000548,2025-09-06,2025-08-30,Delivered
447,549,Shadowfax,SHA000549,2025-10-14,2025-10-06,Delivered
448,550,Shadowfax,SHA000550,2025-10-21,2025-10-13,Delivered
449,551,Shadowfax,SHA000551,2026-01-28,,Returned
450,553,Ekart,EKA000553,2026-02-11,,In Transit
451,554,Delhivery,DEL000554,2026-07-13,,In Transit
452,555,Xpressbees,XPR000555,2025-01-25,2025-01-20,Delivered
453,556,Xpressbees,XPR000556,2026-07-12,2026-07-18,Delivered
454,557,Ekart,EKA000557,2026-07-17,,Shipped
455,558,Bluedart,BLU000558,2026-03-23,,Returned
456,560,DTDC,DTD000560,2026-01-22,2026-01-25,Delivered
457,561,Delhivery,DEL000561,2025-03-05,,Shipped
458,562,Shadowfax,SHA000562,2026-01-23,2026-01-23,Delivered
459,563,Shadowfax,SHA000563,2026-02-20,2026-02-23,Delivered
460,565,Shadowfax,SHA000565,2025-11-15,,Shipped
461,566,Delhivery,DEL000566,2026-02-06,,Returned
462,567,Shadowfax,SHA000567,2025-10-30,2025-11-03,Delivered
463,568,Bluedart,BLU000568,2026-07-10,,In Transit
464,569,Shadowfax,SHA000569,2026-04-01,2026-04-06,Delivered
465,570,Bluedart,BLU000570,2026-07-03,2026-07-05,Delivered
466,573,Xpressbees,XPR000573,2026-02-03,,In Transit
467,574,Xpressbees,XPR000574,2025-09-18,2025-09-15,Delivered
468,575,Shadowfax,SHA000575,2026-07-05,2026-07-04,Delivered
469,576,Bluedart,BLU000576,2025-07-18,2025-07-14,Delivered
470,577,Bluedart,BLU000577,2025-05-21,2025-05-21,Delivered
471,578,Ekart,EKA000578,2025-07-25,,Returned
472,580,Bluedart,BLU000580,2025-11-17,,Shipped
473,581,Bluedart,BLU000581,2025-10-16,2025-10-21,Delivered
474,583,Xpressbees,XPR000583,2025-03-27,,Shipped
475,584,Xpressbees,XPR000584,2025-02-24,,Returned
476,585,Xpressbees,XPR000585,2025-08-31,2025-09-01,Delivered
477,586,DTDC,DTD000586,2025-12-10,2025-12-15,Delivered
478,587,Xpressbees,XPR000587,2026-03-19,,Returned
479,588,Xpressbees,XPR000588,2025-11-19,2025-11-21,Delivered
480,589,Ekart,EKA000589,2025-06-01,,Returned
481,590,Shadowfax,SHA000590,2026-01-12,,In Transit
482,591,DTDC,DTD000591,2025-05-28,,Shipped
483,592,Xpressbees,XPR000592,2025-06-19,,Returned
484,593,Ekart,EKA000593,2025-11-22,2025-11-19,Delivered
485,594,Ekart,EKA000594,2025-12-08,2025-12-02,Delivered
486,595,Bluedart,BLU000595,2025-10-20,,Shipped
487,596,DTDC,DTD000596,2026-05-18,,Shipped
488,597,Bluedart,BLU000597,2026-02-02,,In Transit
489,598,Delhivery,DEL000598,2025-12-25,,Returned
490,599,Bluedart,BLU000599,2025-06-14,2025-06-14,Delivered
491,600,DTDC,DTD000600,2025-08-13,,Returned
